Player;Age;90s;GA;DxG;Cmp%;Stp%;#OPA;Save%;Price
Gregor Kobel;26;27.0;32;1.8;39.7;5.1;37;73.9;
Tomáš Koubek;31;11.0;22;0;34.2;5.7;22;66.2;
Alban Lafont;24;37.0;54;0.8;36.6;8.5;39;74.9;
Jean-Louis Leca;38;1.0;1;0.6;64.3;5.0;0;75.0;
Benjamin Lecomte;32;10.0;14;-3.6;45.0;2.7;11;65.0;
Benjamin Lecomte;32;19.0;22;7.5;36.0;5.5;13;79.2;
Jeremías Ledesma;30;34.0;48;-0.9;32.1;7.1;26;77.7;
Bernd Leno;31;36.0;51;7;31.7;7.5;46;77.1;
Donovan Léon;31;2.0;2;-0.1;33.3;0.0;2;90.9;
Benjamin Leroy;34;31.1;60;-12.3;40.8;4.6;54;60.9;
Alexandre Letellier;33;0.1;0;0;;0.0;0;;
Mateusz Lis;26;8.3;16;0.4;30.7;7.8;13;72.5;
Hugo Lloris;37;24.5;39;-5.1;35.3;6.2;29;67.5;
Anthony Lopes;33;31.3;39;2.4;36.0;5.3;25;75.6;
Diego López;42;1.1;4;-2.3;25.0;0.0;2;20.0;
Pau López;29;32.5;34;-0.2;34.6;5.9;37;76.4;
Andriy Lunin;24;7.0;7;-2.5;51.9;1.9;11;61.1;
Andrey Lunyov;32;1.0;2;-0.6;40.0;16.7;1;50.0;
Mike Maignan;28;22.0;21;-0.7;39.4;6.8;32;69.4;
Giorgi Mamardashvili;23;38.0;45;-2.1;33.9;7.7;47;70.9;
Steve Mandanda;38;33.5;31;1.4;38.8;9.2;51;73.6;
Vito Mannone;35;17.9;24;1.2;31.8;3.5;9;72.6;
Agustín Marchesín;35;19.0;29;-8.3;38.6;5.5;25;62.5;
Federico Marchetti;40;0.7;2;-0.5;50.0;0.0;1;33.3;
Diego Mariño;33;0.5;2;-0.6;66.7;0.0;0;60.0;
Emiliano Martínez;31;34.9;38;-1.4;38.0;12.4;73;74.2;
Jordi Masip;34;27.9;42;3.8;34.2;3.8;14;74.5;
Luís Maximiano;24;0.1;;0;66.7;;;;
Alex McCarthy;34;6.0;17;-6.1;19.5;6.5;7;46.7;
Edouard Mendy;31;9.5;14;-2.1;35.1;7.0;11;64.1;
Alex Meret;26;34.0;24;1;38.6;3.3;39;74.7;
Illan Meslier;23;34.0;67;-13.4;23.6;7.9;66;59.5;
Alexander Meyer;32;7.0;12;-4.1;40.0;8.8;18;62.5;
Vanja Milinković-Savić;26;38.0;41;-5.2;30.4;7.7;70;73.5;
Antonio Mirante;40;0.0;0;0;;;0;;
Lorenzo Montipò;27;37.0;59;-9.4;46.5;5.2;55;68.0;
Florian Müller;26;19.0;34;-6.8;46.2;2.3;28;62.1;
Juan Musso;29;23.1;27;-5.3;39.5;5.5;24;71.9;
Yvon Mvogo;29;20.1;29;-1.9;37.7;5.5;7;71.4;
Keylor Navas;37;17.0;32;-2.7;33.1;4.7;9;66.3;
Neto;34;26.5;39;0.7;36.6;6.9;25;74.6;
Manuel Neuer;37;12.0;11;3.7;49.4;3.9;23;79.5;
Alexander Nübel;27;38.0;58;-8.5;42.5;7.9;33;72.8;
Ørjan Nyland;33;2.0;2;-0.2;33.3;0.0;0;60.0;
Jan Oblak;30;27.7;20;1.9;32.1;7.0;19;75.9;
Guillermo Ochoa;38;20.0;33;1.8;31.4;3.5;10;71.4;
Robin Olsen;33;3.1;8;-1.8;24.2;11.1;3;63.2;
Jonas Omlin;29;13.0;26;-1.9;32.9;6.7;12;68.5;
Jonas Omlin;29;14.3;18;0.1;32.2;6.8;20;71.4;
André Onana;27;24.0;24;-4.7;38.9;5.3;10;73.5;
Stefan Ortega;31;3.0;1;3.1;45.8;3.8;7;93.3;
Fernando Pacheco;31;1.0;2;-0.4;25.0;6.3;2;60.0;
Fernando Pacheco;31;16.0;33;-6.4;46.7;6.6;19;67.0;
Rui Patrício;35;35.0;35;-7.4;41.2;4.0;25;69.4;
Jiří Pavlenka;31;32.3;61;-9.1;39.8;4.6;38;65.3;
Gianluca Pegolo;42;2.0;3;0.2;50.0;7.1;0;66.7;
Iñaki Peña;24;0.8;2;-0.6;33.3;0.0;2;50.0;
Patrick Pentz;26;7.0;14;-2.1;30.9;7.8;4;58.6;
Simone Perilli;28;1.0;0;0.8;20.0;5.3;1;100.0;
Mattia Perin;31;10.5;7;4.2;29.9;2.6;11;85.0;
Samuele Perisan;26;7.0;9;-1.5;33.3;3.7;4;62.5;
Jordan Pickford;29;37.0;57;3;33.7;3.9;52;71.3;
Nick Pope;31;36.2;32;-0.7;32.6;8.3;74;74.6;
Ivan Provedel;29;37.9;30;1.4;42.4;4.3;55;77.3;
Ghjuvanni Quilichini;21;0.9;0;0.8;25.0;8.0;0;100.0;
Ionuț Radu;26;9.0;19;2;26.6;5.6;9;75.0;
Ionuț Radu;26;17.0;20;1.9;33.5;5.1;13;73.0;
Predrag Rajković;28;36.0;40;-0.8;41.1;5.3;19;74.4;
Diant Ramaj;22;1.0;1;0;33.3;6.7;1;80.0;
Aaron Ramsdale;25;38.0;43;-3;25.4;5.8;43;70.6;
Nicola Ravaglia;35;9.0;23;-5.1;33.8;6.5;1;67.2;
David Raya;28;38.0;46;2;39.3;8.7;54;77.7;
Pepe Reina;41;22.0;27;1.9;30.9;4.8;20;73.6;
Álex Remiro;28;38.0;35;-2.2;42.7;4.0;47;74.4;
Manuel Riemann;35;34.0;72;-3;47.1;5.8;121;68.0;
Rémy Riou;36;6.7;8;0.8;24.5;7.7;10;83.3;
Joel Robles;33;4.0;11;-0.5;25.4;4.7;3;66.7;
Marek Rodák;27;2.0;2;0;34.0;3.8;2;50.0;
Leonardo Román;23;1.0;0;0.1;42.9;3.3;2;100.0;
Francesco Rossi;32;0.0;0;0;0.0;0.0;0;81.5;
Gerónimo Rulli;31;14.0;10;2.5;42.0;9.3;21;;
Alessandro Russo;22;1.0;3;-0.2;0.0;0.0;0;82.1;
Frederik Rønnow;31;29.0;27;8.2;39.7;9.9;29;57.1;
José Sá;30;36.0;55;-6.6;27.6;8.0;28;67.1;
Brice Samba;29;37.0;28;4.4;40.0;8.9;41;80.0;
Robert Sánchez;26;23.0;30;-5.8;29.3;7.4;13;66.2;
Mouhamadou Sarr;26;2.0;3;-0.1;50.0;0.0;1;62.5;
Kasper Schmeichel;37;36.0;35;0.9;43.8;5.3;23;77.3;
Marvin Schwäbe;28;34.0;54;-11.7;38.1;4.1;22;61.2;
Alexander Schwolow;31;22.6;58;-12.2;40.8;2.2;23;60.9;
Matz Sels;31;38.0;59;-2.5;34.9;6.2;32;71.8;
Luigi Sepe;32;17.0;27;3.3;27.7;7.2;13;73.6;
Rui Silva;29;26.0;32;0.9;37.6;4.9;37;71.2;
Marco Silvestri;32;38.0;48;0.7;37.9;2.4;21;69.3;
Unai Simón;26;30.5;37;-5.3;38.2;5.1;40;67.3;
Tobias Sippel;35;5.7;12;-0.4;23.6;2.3;4;66.7;
Salvatore Sirigu;36;1.0;0;1;37.5;0.0;2;100.0;
Łukasz Skorupski;32;37.0;49;-1.2;39.4;5.9;24;73.9;
François-Joseph Sollacaro;29;6.0;14;-4.9;21.8;6.5;6;45.8;
Yann Sommer;35;10.0;14;2.7;34.0;3.1;13;80.0;
Yann Sommer;35;19.0;25;-1.3;40.7;5.7;27;67.3;
David Soria;30;38.0;45;0.5;45.2;6.1;46;75.3;
Marco Sportiello;31;14.9;21;-1.4;35.1;9.0;18;68.8;
Jason Steele;33;15.0;23;-4.5;45.9;7.9;19;61.4;
Mile Svilar;24;3.0;3;-0.1;36.4;14.3;4;70.0;
Wojciech Szczęsny;33;27.5;26;0;47.4;2.8;21;75.3;
Ciprian Tătărușanu;37;16.0;22;-5.2;48.2;4.6;13;67.2;
Marc-André ter Stegen;31;37.2;18;5.7;50.1;4.9;41;84.7;
Pietro Terracciano;33;29.0;38;-4.9;41.3;4.4;55;66.7;
Kevin Trapp;33;33.0;51;-8.7;24.5;4.2;24;62.3;
Mark Travers;24;11.5;32;-8;46.1;2.2;5;54.5;
Martin Turk;20;4.0;9;-1;44.9;0.0;2;73.3;
Samir Ujkani;35;0.1;1;-0.8;;0.0;0;0.0;
Sven Ulreich;35;3.0;2;0.4;34.6;5.9;4;75.0;
Guglielmo Vicario;27;30.9;39;1.9;30.3;5.6;22;73.9;
Iván Villar;26;19.0;24;-1.8;33.9;3.1;14;66.1;
Danny Ward;30;26.0;46;-9.5;31.0;5.6;42;63.0;
Axel Werner;27;2.0;4;-1.6;20.0;3.8;1;50.0;
Joseph Whitworth;19;2.0;5;-2.7;29.6;4.0;3;50.0;
Robin Zentner;29;26.0;39;-3.6;33.8;13.4;53;67.0;
Michael Zetterer;28;1.7;3;0.2;48.5;20.0;4;78.6;
Jeroen Zoet;32;3.7;4;-1.2;32.1;6.5;6;76.9;
Petar Zovko;21;0.8;2;-0.3;33.3;4.2;2;33.3;
