Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Matías Vecino;32;18.8;2;0;2;-0.5;-0.5;22;88;17;0.11;0.00;0.11;-0.02;-0.03;
Gabriel Veiga;21;25.5;11;4;15;4.9;1.4;68;109;88;0.43;0.16;0.59;0.19;0.06;
Miguel Veloso;37;12.9;0;0;0;-0.5;-2.1;17;84;22;0.00;0.00;0.00;-0.04;-0.16;
Unai Vencedor Paris;23;2.1;0;0;0;-0.5;-0.1;2;16;3;0.00;0.00;0.00;-0.22;-0.05;
Jordan Veretout;30;31.8;4;3;7;0.1;-0.8;59;248;73;0.13;0.09;0.22;0.01;-0.03;
Marco Verratti;31;24.4;0;0;0;-0.8;-2.5;40;262;52;0.00;0.00;0.00;-0.03;-0.1;
Valerio Verre;29;7.5;0;0;0;-0.6;-1.1;16;45;27;0.00;0.00;0.00;-0.08;-0.14;
Mikel Vesga;30;28.6;3;3;6;-0.9;1.5;26;199;31;0.10;0.10;0.21;-0.04;0.05;
Ronaldo Vieira;25;0.2;0;0;0;0;0;;;;0.00;0.00;0.00;0;0;
Ronaldo Vieira;25;9.1;0;0;0;0;0;;;;0.00;0.00;0.00;0;0;
Tonny Vilhena;28;25.2;4;1;5;1.6;-0.7;30;80;59;0.16;0.04;0.20;0.06;-0.03;
Toni Villa;28;1.0;0;0;0;0;0;2;4;5;0.00;0.00;0.00;0;-0.02;
Gonzalo Villar;25;7.7;0;0;0;0;0;9;26;2;0.00;0.00;0.00;0;0;
Gonzalo Villar;25;5.1;0;0;0;-0.1;-0.3;13;27;9;0.00;0.00;0.00;-0.02;-0.06;
Vitinha;23;27.2;2;3;5;-1;0;50;137;94;0.07;0.11;0.18;-0.04;0;
Cristian Volpato;20;2.5;1;1;2;0.6;-0.2;8;18;24;0.40;0.40;0.79;0.26;-0.07;
Aster Vranckx;21;2.7;0;0;0;-0.1;-0.3;2;4;5;0.00;0.00;0.00;-0.02;-0.11;
Aster Vranckx;21;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Robert Wagner;20;0.4;0;0;0;-0.2;0;0;0;2;0.00;0.00;0.00;-0.54;0;
Walace;28;35.5;0;1;1;-1.1;-0.7;47;170;36;0.00;0.03;0.03;-0.03;-0.02;
Paul Wanner;18;0.3;0;0;0;0;-0.1;1;1;4;0.00;0.00;0.00;0;-0.25;
James Ward-Prowse;29;37.5;9;4;13;3.3;-2.2;19;189;58;0.24;0.11;0.35;0.09;-0.06;
Julian Weigl;28;21.0;1;0;1;-0.1;-0.6;7;82;7;0.05;0.00;0.05;0;-0.03;
Marcel Wenig;19;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Harvey White;22;0.1;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Georginio Wijnaldum;33;8.5;2;0;2;-0.2;-0.7;16;18;33;0.23;0.00;0.23;-0.03;-0.08;
Joe Willock;24;28.4;3;6;9;-4;0;97;121;152;0.11;0.21;0.32;-0.14;0;
Harry Winks;27;19.1;0;0;0;-0.6;-1.3;19;117;17;0.00;0.00;0.00;-0.03;-0.07;
Christopher Wooh;22;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Xeka;29;6.1;0;0;0;-0.1;0;5;39;13;0.00;0.00;0.00;-0.02;0;
Granit Xhaka;31;33.3;7;7;14;2.3;1.8;42;196;175;0.21;0.21;0.42;0.07;0.05;
Ryan Yates;26;20.4;0;2;2;-2.3;0.8;11;43;27;0.00;0.10;0.10;-0.11;0.04;
Yusuf Yazıcı;26;2.2;1;1;2;0.8;0.4;5;17;18;0.45;0.45;0.90;0.38;0.19;
Gerard Yepes;21;2.2;0;0;0;-0.1;0;3;7;6;0.00;0.00;0.00;-0.03;-0.01;
Denis Zakaria;27;4.6;0;0;0;-0.2;0;9;6;3;0.00;0.00;0.00;-0.04;-0.01;
Denis Zakaria;27;1.4;0;0;0;0;0;2;3;3;0.00;0.00;0.00;0;0;
Andre-Frank Zambo Anguissa;28;33.9;3;5;8;-1.4;2.4;58;181;140;0.09;0.15;0.24;-0.04;0.07;
Oier Zarraga;24;9.5;0;0;0;-1.3;-1.1;12;37;32;0.00;0.00;0.00;-0.13;-0.12;
Piotr Zieliński;29;25.4;3;8;11;-0.5;0.6;62;128;129;0.12;0.31;0.43;-0.02;0.02;
Martín Zubimendi;24;34.5;1;3;4;-0.9;1;43;184;29;0.03;0.09;0.12;-0.03;0.03;
Szymon Żurkowski;26;0.4;0;1;1;-0.1;1;3;1;4;0.00;2.81;2.81;-0.33;2.75;
Szymon Żurkowski;26;4.7;0;0;0;-0.6;0;9;10;10;0.00;0.00;0.00;-0.12;0;
Martin Ødegaard;25;34.7;15;7;22;5;-1.1;83;266;193;0.43;0.20;0.63;0.14;-0.03;
