Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Ben Pearson;28;3.2;0;0;0;0;0;2;5;4;0.00;0.00;0.00;-0.01;0;
Pedri;21;22.0;6;1;7;1.1;-4;67;184;99;0.27;0.05;0.32;0.05;-0.18;
Lorenzo Pellegrini;27;28.3;4;5;9;-4;-1.9;58;106;113;0.14;0.18;0.32;-0.14;-0.06;
Pepín;27;12.5;0;2;2;-0.5;0.5;19;74;28;0.00;0.16;0.16;-0.04;0.04;
Alberto Perea;33;0.5;0;0;0;0;0;0;2;2;0.00;0.00;0.00;0;0;
Andreas Pereira;27;29.9;4;6;10;-3.3;0.8;53;121;133;0.13;0.20;0.33;-0.11;0.03;
Kike Pérez;26;25.6;1;2;3;-1.3;-0.2;54;134;82;0.04;0.08;0.12;-0.05;-0.01;
Máximo Perrone;20;0.2;0;0;0;0;0;0;2;1;0.00;0.00;0.00;0;0;
Matteo Pessina;26;32.6;5;3;8;-0.1;0.9;77;193;88;0.15;0.09;0.25;-0.01;0.03;
Cameron Peupion;21;0.1;0;0;0;-0.1;0;0;0;2;0.00;0.00;0.00;-0.9;0;
Kalvin Phillips;28;3.3;0;0;0;-0.3;-0.2;1;18;2;0.00;0.00;0.00;-0.1;-0.05;
Charles Pickel;26;27.6;1;0;1;-0.6;-1.2;18;104;61;0.04;0.00;0.04;-0.02;-0.04;
Niccolò Pisilli;19;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Tommaso Pobega;24;9.8;2;0;2;0.6;-0.3;8;36;22;0.20;0.00;0.20;0.05;-0.03;
Julien Ponceau;23;18.4;1;4;5;-0.8;1;53;101;103;0.05;0.22;0.27;-0.05;0.06;
Łukasz Poręba;23;2.9;0;1;1;-0.6;0.3;3;20;18;0.00;0.35;0.35;-0.2;0.11;
Sanjin Prcić;30;18.1;1;1;2;-0.2;0.2;14;112;14;0.06;0.06;0.11;0;0.02;
Isaac Price;20;0.4;0;0;0;0;-0.1;1;1;0;0.00;0.00;0.00;0;-0.26;
Grischa Prömel;28;16.2;1;1;2;-1.5;-0.1;19;39;46;0.06;0.06;0.12;-0.1;-0.01;
Mehdi Puch Herrantz;19;0.5;0;0;0;0;-0.1;3;4;1;0.00;0.00;0.00;0;-0.22;
Niklas Pyyhtiä;20;1.2;0;1;1;-0.2;0.9;2;1;5;0.00;0.82;0.82;-0.12;0.7;
Joshua Quarshie;19;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Domingos Quina;24;3.1;0;0;0;-0.2;-0.4;12;17;7;0.00;0.00;0.00;-0.07;-0.14;
Adrien Rabiot;28;30.5;8;4;12;1.8;1.7;72;133;109;0.26;0.13;0.39;0.06;0.05;
Ivan Rakitić;35;19.9;1;3;4;-2.3;1.1;42;148;84;0.05;0.15;0.20;-0.12;0.05;
Aaron Ramsey;33;17.6;1;1;2;-1.5;-0.8;29;126;84;0.06;0.06;0.11;-0.08;-0.04;
Filippo Ranocchia;22;5.9;1;0;1;-0.2;-0.4;13;26;15;0.17;0.00;0.17;-0.04;-0.06;
Harrison Reed;28;31.8;3;4;7;1.1;-0.1;30;102;107;0.09;0.13;0.22;0.03;0;
Jeff Reine-Adélaïde;25;2.6;0;1;1;-0.3;0.6;10;20;8;0.00;0.39;0.39;-0.12;0.22;
Jeff Reine-Adélaïde;25;3.7;0;0;0;-0.8;-0.9;20;32;25;0.00;0.00;0.00;-0.21;-0.23;
Rocco Reitz;21;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Elvis Rexhbeçaj;26;28.0;0;0;0;-0.3;-0.8;14;89;20;0.00;0.00;0.00;-0.01;-0.03;
Chadi Riad;20;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Franck Ribéry;40;0.4;0;0;0;0;0;1;1;4;0.00;0.00;0.00;0;0;
Samuele Ricci;22;23.0;2;1;3;0.3;-0.8;43;104;31;0.09;0.04;0.13;0.02;-0.04;
Declan Rice;24;36.4;4;1;5;1.6;-2.2;88;240;37;0.11;0.03;0.14;0.04;-0.06;
Tomás Rincón;35;28.4;0;2;2;-0.6;0.8;27;122;35;0.00;0.07;0.07;-0.02;0.03;
