Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Neal Maupay;26;25.3;8;2;10;-0.7;-0.4;21;48;164;0.32;0.08;0.40;-0.02;-0.02;11.8
Mattia Zaccagni;27;20.8;4;5;9;0.8;2.1;85;55;211;0.19;0.24;0.43;0.04;0.1;7.1
Georginio Rutter;20;17.9;8;2;10;1;-2.2;38;42;124;0.45;0.11;0.56;0.06;-0.12;28
Danny Ings;30;21.1;7;6;13;-0.1;4.4;24;39;117;0.33;0.28;0.62;-0.01;0.2;12
Arkadiusz Milik;28;15.7;7;2;9;-1.2;0.3;15;25;111;0.44;0.13;0.57;-0.08;0.02;8
Mikkel Damsgaard;22;6.4;0;0;0;-0.6;-0.5;11;29;40;0.00;0.00;0.00;-0.09;-0.07;15
Breel Embolo;25;24.1;9;3;12;0.6;-1.7;38;64;158;0.37;0.12;0.50;0.01;-0.08;12.5
Pierre-Emerick Aubameyang;33;11.5;4;1;5;-1.9;0;21;26;47;0.35;0.09;0.43;-0.16;0;12
Mohamed Ali Cho;18;20.4;4;1;5;-2.4;-1.7;60;22;150;0.20;0.05;0.24;-0.11;-0.08;11
Emmanuel Dennis;25;28.7;10;6;16;2.7;1.9;90;61;172;0.35;0.21;0.56;0.09;0.07;14.8
Mohamed Lamine Bayo;24;26.8;14;5;19;-0.4;0.9;28;55;147;0.52;0.19;0.71;-0.02;0.04;14
Sekou Mara;20;10.1;6;0;6;0.9;-0.7;7;15;47;0.60;0.00;0.60;0.09;-0.07;13
