Player;Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Price
Akim Zedadka;28;3.9;1;1;1;0;0;0;2;0.0;2;3;0;3;2;3;6;0;
Oliver Zandén;22;1.6;2;1;1;0;1;2;5;40.0;3;0;0;0;1;3;7;0;
Axel Witsel;34;25.1;36;22;22;11;3;17;31;54.8;14;20;11;9;23;59;76;0;
Rúben Vinagre;24;0.3;2;2;1;1;0;1;2;50.0;1;0;0;0;0;2;1;0;
Clément Vidal;23;21.1;25;15;14;11;0;18;38;47.4;20;27;16;11;27;52;73;1;
Kevin Vázquez;30;4.9;13;8;5;7;1;8;12;66.7;4;4;1;3;2;15;8;0;
Jesus Vazquez;20;3.4;13;8;9;1;3;6;11;54.5;5;4;0;4;1;14;8;0;
Vanderson;22;24.6;84;48;36;34;14;44;75;58.7;31;36;9;27;48;132;36;1;
Filippo Terracciano;20;9.1;20;13;11;7;2;15;20;75.0;5;7;4;3;10;30;14;0;
Nuno Tavares;23;26.1;56;30;19;24;13;28;55;50.9;27;32;4;28;15;71;25;0;
Niklas Tauer;22;1.0;2;1;2;0;0;1;3;33.3;2;2;1;1;2;4;4;0;
Damián Suárez;35;21.6;49;33;23;19;7;26;47;55.3;21;40;0;40;15;64;36;0;
John Stones;29;20.5;23;13;11;8;4;7;10;70.0;3;17;10;7;9;32;40;0;
Kostas Stafylidis;30;11.6;27;16;13;8;6;10;24;41.7;14;21;8;13;20;47;31;1;
Tim Skarke;27;0.6;1;1;0;0;1;0;0;;0;1;0;1;0;1;0;0;
Daley Sinkgraven;28;3.8;10;7;7;3;0;7;9;77.8;2;8;4;4;5;15;7;0;
Kiliann Sildillia;21;22.0;33;20;10;19;4;18;30;60.0;12;24;9;15;21;54;47;1;
Stephan El Shaarawy;31;16.9;21;9;8;10;3;6;22;27.3;16;11;1;10;15;36;11;0;
Kingsley Schindler;30;12.1;23;12;13;8;2;18;28;64.3;10;14;2;12;15;38;24;0;
Matteo Ruggeri;21;9.2;17;12;5;9;3;8;16;50.0;8;14;3;11;12;29;16;0;
Rubén;22;9.9;30;15;18;9;3;20;29;69.0;9;14;4;10;18;48;18;0;
Sergi Roberto;31;14.5;22;15;12;6;4;7;18;38.9;11;15;7;8;11;33;16;0;
Jaïro Riedewald;27;0.7;2;1;2;0;0;0;1;0.0;1;2;0;2;0;2;4;0;
Rayan Raveloson;26;27.0;38;23;21;16;1;23;33;69.7;10;43;12;31;39;77;70;0;
David Raum;25;18.7;39;25;23;12;4;17;29;58.6;12;24;6;18;16;55;26;1;
Lilian Raolisoa;23;1.9;11;9;6;3;2;7;10;70.0;3;3;1;2;3;14;5;0;
Pedro Porro;24;12.6;25;16;8;15;2;14;39;35.9;25;25;2;23;15;40;24;1;
Ivan Perišić;34;23.4;42;24;25;10;7;27;47;57.4;20;29;7;22;22;64;49;1;
Roberto Pereyra;32;31.3;36;20;21;12;3;16;44;36.4;28;20;5;15;16;52;28;0;
Ricardo Pereira;30;5.0;11;7;8;3;0;7;17;41.2;10;8;2;6;4;15;20;0;
Danilo Pereira;32;26.8;32;17;15;14;3;19;26;73.1;7;26;19;7;36;68;59;1;
Rubén Peña;32;14.2;32;18;10;18;4;20;41;48.8;21;23;8;15;17;49;31;0;
Pedrosa;25;2.5;5;1;5;0;0;4;7;57.1;3;1;1;0;5;10;3;0;
Mads Pedersen;27;20.4;44;23;31;11;2;22;33;66.7;11;32;9;23;20;64;41;1;
Nathan Patterson;22;14.2;49;24;32;13;4;29;53;54.7;24;24;4;20;15;64;45;0;
Papa Ndiaga Yade;23;6.3;10;6;6;2;2;7;22;31.8;15;10;2;8;8;18;10;0;
Nikolas Nartey;23;5.3;11;6;7;3;1;5;9;55.6;4;9;0;9;4;15;12;0;
Joakim Mæhle;26;24.6;32;18;12;7;13;22;39;56.4;17;29;6;23;24;56;26;0;
Johan Mojica;31;3.0;6;3;5;1;0;2;3;66.7;1;3;2;1;4;10;5;0;
Tobias Mohr;28;9.3;8;5;3;5;0;2;7;28.6;5;14;5;9;8;16;19;0;
Maximilian Mittelstädt;26;9.4;39;20;31;6;2;17;39;43.6;22;13;2;11;26;65;27;0;
Chrislain Matsima;21;2.5;0;0;0;0;0;0;0;;0;3;3;0;2;2;7;0;
Erhan Mašović;25;24.2;50;31;28;21;1;30;51;58.8;21;30;14;16;27;77;79;0;
Ainsley Maitland-Niles;26;15.6;45;24;23;18;4;28;44;63.6;16;28;7;21;22;67;45;1;
Deiver Machado;30;24.3;45;26;18;20;7;21;34;61.8;13;21;4;17;21;66;27;0;
Dimitri Liénard;35;17.1;46;29;20;18;8;34;57;59.6;23;28;4;24;16;62;24;0;
Rico Lewis;19;10.0;16;9;9;5;2;6;11;54.5;5;8;4;4;6;22;13;1;
Darko Lazović;33;24.9;24;13;9;12;3;13;29;44.8;16;14;3;11;16;40;19;0;
Toni Lato;26;10.2;23;11;9;12;2;9;21;42.9;12;10;1;9;6;29;14;0;
Yasser Larouci;22;20.0;23;13;13;8;2;15;24;62.5;9;15;1;14;26;49;46;0;
Filip Kostić;31;0.8;2;0;1;1;0;0;0;;0;0;0;0;1;3;0;0;
Josan;34;12.0;25;20;20;5;0;14;27;51.9;13;8;0;8;7;32;15;1;
Dany Jean;21;0.1;0;0;0;0;0;0;1;0.0;1;1;0;1;0;0;0;0;
Tony Jantschke;33;1.1;2;1;1;1;0;1;1;100.0;0;5;3;2;0;2;5;0;
Reece James;24;13.8;31;20;10;18;3;15;19;78.9;4;17;2;15;12;43;23;0;
Kristijan Jakić;26;16.2;33;21;19;12;2;22;41;53.7;19;32;10;22;14;47;49;1;
Iglesias;25;23.8;61;35;40;18;3;33;63;52.4;30;40;5;35;21;82;91;1;
Iago;26;17.8;34;16;20;10;4;11;29;37.9;18;18;5;13;17;51;53;0;
Martin Hongla;25;14.5;18;13;13;5;0;11;21;52.4;10;15;12;3;8;26;46;1;
