Player;Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Price
Antonio Candreva;36;30.3;17;7;13;2;2;11;38;28.9;27;7;3;4;17;34;32;0;
Eduardo Camavinga;21;22.3;68;48;32;21;15;24;64;37.5;40;24;5;19;17;85;25;0;
Joe Bryan;30;2.0;5;4;3;2;0;4;4;100.0;0;2;0;2;1;6;1;0;
Leonardo Bittencourt;30;18.1;53;28;20;25;8;25;62;40.3;37;13;0;13;10;63;15;0;
Alexis Beka Beka;22;6.1;16;5;6;9;1;4;15;26.7;11;9;1;8;12;28;6;0;
Simone Bastoni;27;13.2;47;24;23;19;5;15;33;45.5;18;20;5;15;8;55;14;0;
Iddrisu Baba;27;18.9;31;17;15;16;0;15;32;46.9;17;18;8;10;11;42;39;0;
José Antonio;19;0.5;2;1;0;0;2;0;0;;0;0;0;0;0;2;0;0;
Paul Akouokou;26;5.0;16;9;13;3;0;13;20;65.0;7;2;2;0;12;28;17;1;
Paxten Aaronson;20;1.9;6;5;2;2;2;2;3;66.7;1;2;1;1;0;6;2;0;
Mitchell Weiser;29;28.0;71;43;38;24;9;38;75;50.7;37;50;7;43;28;99;38;1;
Timothy Weah;23;19.4;24;14;13;9;2;16;29;55.2;13;17;3;14;23;47;18;0;
Sada Thioub;28;11.8;19;10;9;8;2;8;17;47.1;9;13;0;13;7;26;5;1;
Arnaud Souquet;31;4.0;22;16;13;7;2;11;14;78.6;3;8;3;5;4;26;4;0;
Aitor Ruibal;27;16.2;47;29;35;9;3;31;58;53.4;27;17;2;15;24;71;41;0;
Pascu;20;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
Jordi Osei-Tutu;25;8.3;23;18;13;5;5;12;23;52.2;11;12;5;7;10;33;8;0;
Hugo Novoa;20;2.0;8;2;1;3;4;4;7;57.1;3;4;0;4;1;9;0;0;
Jesús Navas;38;22.0;19;12;8;3;8;11;22;50.0;11;18;7;11;22;41;52;1;
João Moutinho;25;0.6;7;1;5;1;1;3;4;75.0;1;1;1;0;0;7;0;0;
Farid El Melali;26;9.0;21;12;7;12;2;11;22;50.0;11;16;0;16;8;29;7;0;
Kevin Mbabu;28;1.6;3;2;2;1;0;1;3;33.3;2;2;0;2;3;6;3;0;
Valentino Livramento;21;0.3;2;1;2;0;0;0;0;;0;0;0;0;2;4;3;0;
Jamal Lewis;25;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
Giorgos Kyriakopoulos;27;7.8;13;6;4;5;4;10;23;43.5;13;14;2;12;4;17;10;0;
Filip Kostić;31;28.5;41;26;17;20;4;21;47;44.7;26;30;4;26;16;57;32;0;
Anthony Jung;32;29.1;46;27;19;20;7;31;58;53.4;27;30;6;24;22;68;63;0;
Ismail Jakobs;24;12.4;11;5;7;3;1;5;12;41.7;7;9;1;8;9;20;18;0;
Samuel Iling-Junior;20;3.5;7;2;3;1;3;4;9;44.4;5;5;1;4;2;9;6;0;
Jannes Horn;26;0.7;2;1;1;1;0;1;1;100.0;0;1;0;1;3;5;2;0;
Henrique;29;4.0;9;4;3;2;4;6;13;46.2;7;3;1;2;5;14;8;0;
Gabriel Gudmundsson;24;9.3;19;11;7;10;2;12;22;54.5;10;11;2;9;10;29;20;0;
Raphael Framberger;28;2.0;10;6;6;4;0;3;5;60.0;2;2;1;1;2;12;5;0;
Kilian Fischer;23;5.6;9;6;3;4;2;6;11;54.5;5;6;0;6;5;14;18;0;
Shane Duffy;31;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;
Souleyman Doumbia;27;19.9;45;31;31;13;1;17;31;54.8;14;20;3;17;27;72;27;1;
Moussa Djenepo;25;7.9;19;11;13;5;1;11;26;42.3;15;19;2;17;11;30;7;0;
Edan Diop;19;2.5;13;8;3;3;7;7;15;46.7;8;7;1;6;4;17;1;0;
Marco D'Alessandro;32;3.2;4;4;3;1;0;2;5;40.0;3;2;0;2;1;5;3;0;
Juan Cuadrado;35;23.1;50;34;34;13;3;27;65;41.5;38;15;2;13;24;74;32;0;
David Čolina;23;1.8;4;1;1;1;2;2;2;100.0;0;8;0;8;4;8;3;0;
Franco Carboni;20;0.7;1;1;1;0;0;0;2;0.0;2;3;0;3;1;2;0;0;
João Cancelo;29;11.2;23;14;9;10;4;10;23;43.5;13;14;2;12;15;38;22;0;
Lee Buchanan;22;5.2;14;10;2;11;1;6;12;50.0;6;5;0;5;12;26;21;0;
Andreas Bruus;24;18.1;12;6;9;3;0;8;20;40.0;12;13;2;11;17;29;24;0;
Ismaëlben Boura;23;1.0;6;4;4;2;0;5;6;83.3;1;2;1;1;2;8;3;0;
Ridle Baku;25;28.7;50;26;29;17;4;32;58;55.2;26;44;6;38;21;71;59;0;
Mehmet Aydin;21;6.3;25;18;14;9;2;11;24;45.8;13;11;0;11;10;35;15;0;
Ayoub Amraoui;19;3.3;6;5;3;3;0;2;5;40.0;3;1;0;1;4;10;4;0;
Jim Allevinah;28;24.9;39;24;24;11;4;19;62;30.6;43;24;2;22;24;63;26;1;
Felix Agu;24;0.5;1;0;0;1;0;0;0;;0;1;1;0;0;1;0;0;
